test_nb,time,error_nb,method,W,D,Fitts
15,0.981,0,Direct touch,40,21.166010488516726,0.6127301803402964
5,1.246,0,Direct touch,25,12.96148139681572,0.6026081978441127
8,0.744,0,Direct touch,25,11.489125293076057,0.5455384725747235
18,4.36,0,Direct touch,40,18.138357147217054,0.5394903048926267
27,1.095,0,Direct touch,60,19.261360284258224,0.40165522634393114
14,0.954,0,Direct touch,40,12.569805089976535,0.3942343859228084
20,0.653,0,Direct touch,60,15.968719422671311,0.34044300173710923
22,1.24,0,Direct touch,60,9.16515138991168,0.20508282354982305
21,1.087,0,Direct touch,60,21.587033144922902,0.4433773781418883
16,1.62,0,Direct touch,40,22.181073012818835,0.6364755124158034
19,1.609,0,Direct touch,60,12.328828005937952,0.2696082741435354
10,2.059,0,Direct touch,40,12.328828005937952,0.3876059476788723
25,1.713,0,Direct touch,60,21.93171219946131,0.44945946369261547
1,2.231,0,Direct touch,25,12.449899597988733,0.5830337559814993
2,0.832,0,Direct touch,25,4.358898943540674,0.23186976844090082
9,1.128,0,Direct touch,25,17.944358444926362,0.7805405235983087
4,1.198,0,Direct touch,25,10.583005244258363,0.5092602669794973
26,0.614,0,Direct touch,60,12.922847983320086,0.281408405844836
11,0.644,0,Direct touch,40,15.264337522473747,0.4663487991497137
23,0.801,0,Direct touch,60,11.532562594670797,0.25363762508230914
3,1.247,0,Direct touch,25,22.40535650240808,0.9231219887688349
12,1.6,0,Direct touch,40,21.307275752662516,0.6160582985392749
6,1.505,0,Direct touch,25,21.166010488516726,0.8849029700293253
17,0.724,0,Direct touch,40,13.341664064126334,0.41526283238068945
13,1.177,0,Direct touch,40,10.583005244258363,0.33865275313777676
24,0.835,0,Direct touch,60,21.470910553583888,0.44132253173352864
7,1.228,0,Direct touch,25,22.181073012818835,0.916280134471476
