test_nb,time,error_nb,method,W,D,Fitts
11,0.852,0,Direct touch,40,15.264337522473747,0.4663487991497137
3,5.169,0,Mouse,25,22.40535650240808,0.9231219887688349
18,1.794,0,Direct touch,40,18.138357147217054,0.5394903048926267
16,1.189,0,Direct touch,40,9.746794344808963,0.31460356220195695
26,0.828,0,Direct touch,60,16.941074346097416,0.35879147374006404
24,0.792,0,Direct touch,60,16.61324772583615,0.35263137936433236
2,0.902,0,Direct touch,25,4.358898943540674,0.23186976844090082
7,5.141,0,Mouse,25,8.426149773176359,0.4190490912661385
14,1.359,0,Direct touch,40,10.099504938362077,0.324796347402544
23,0.773,0,Direct touch,60,9.695359714832659,0.21610010459416049
22,1.021,0,Direct touch,60,21.118712081942874,0.43507224619918644
4,1.167,0,Direct touch,25,20.346989949375804,0.859078695574669
19,3.048,0,Mouse,60,12.328828005937952,0.2696082741435354
9,2.921,0,Mouse,25,17.944358444926362,0.7805405235983087
27,1.914,0,Mouse,60,19.261360284258224,0.40165522634393114
20,0.702,0,Direct touch,60,15.968719422671311,0.34044300173710923
25,0.833,0,Direct touch,60,9.219544457292887,0.20621694625219808
12,2.257,0,Mouse,40,21.307275752662516,0.6160582985392749
5,1.019,0,Direct touch,25,12.922847983320086,0.6011392189565474
6,1.2,0,Direct touch,25,21.400934559032695,0.8922257680108284
17,0.883,0,Direct touch,40,16.0312195418814,0.4862308937438483
1,3.426,0,Mouse,25,12.449899597988733,0.5830337559814993
21,2.787,0,Mouse,60,21.587033144922902,0.4433773781418883
15,0.945,0,Direct touch,40,17.663521732655695,0.5276589504485495
13,0.91,0,Direct touch,40,19.949937343260004,0.5837582458060492
10,2.522,0,Mouse,40,12.328828005937952,0.3876059476788723
8,1.827,0,Mouse,25,17.26267650163207,0.7574560413717237
