test_nb,time,error_nb,method,W,D,Fitts
12,3.018,0,Mouse,40,21.307275752662516,0.6160582985392749
19,2.339,0,Mouse,60,12.328828005937952,0.2696082741435354
3,2.636,0,Mouse,25,22.40535650240808,0.9231219887688349
4,3.241,6,Mouse,25,20.346989949375804,0.859078695574669
9,1.736,0,Mouse,25,17.944358444926362,0.7805405235983087
2,2.302,0,Direct touch,25,4.358898943540674,0.23186976844090082
22,2.252,0,Mouse,60,21.118712081942874,0.43507224619918644
21,5.18,0,Mouse,60,21.587033144922902,0.4433773781418883
17,1.263,0,Direct touch,40,16.0312195418814,0.4862308937438483
5,0.895,0,Direct touch,25,12.922847983320086,0.6011392189565474
10,5.005,1,Mouse,40,12.328828005937952,0.3876059476788723
7,4.262,0,Mouse,25,8.426149773176359,0.4190490912661385
25,2.446,0,Mouse,60,9.219544457292887,0.20621694625219808
20,0.81,0,Direct touch,60,15.968719422671311,0.34044300173710923
26,1.154,0,Direct touch,60,16.941074346097416,0.35879147374006404
13,1.027,0,Direct touch,40,19.949937343260004,0.5837582458060492
8,1.071,0,Direct touch,25,17.26267650163207,0.7574560413717237
24,0.953,0,Direct touch,60,16.61324772583615,0.35263137936433236
23,0.632,0,Direct touch,60,9.695359714832659,0.21610010459416049
11,0.894,0,Direct touch,40,15.264337522473747,0.4663487991497137
27,2.535,0,Mouse,60,19.261360284258224,0.40165522634393114
6,0.99,0,Direct touch,25,21.400934559032695,0.8922257680108284
1,3.796,0,Mouse,25,12.449899597988733,0.5830337559814993
14,0.925,0,Direct touch,40,10.099504938362077,0.324796347402544
18,4.161,1,Mouse,40,18.138357147217054,0.5394903048926267
15,0.972,0,Direct touch,40,17.663521732655695,0.5276589504485495
16,3.843,0,Mouse,40,9.746794344808963,0.31460356220195695
